grov_nm,new_strata,strata_list,grove_ha,ease_of_access,grove_acres,plots,total_per,grove_list
Redwood Mountain,12,,1272.1,Easy,3143.3590999999997,55,0.01749720545769015,"c(1, 2, 3, 5, 8, 18, 19, 20, 21, 24, 2, 2)"
Garfield,12,,747.7,Moderate,1847.5667,5,0.0027062622421155347,"c(3, 4, 8, 7, 18, 19, 20, 22, 24, 23, 2, 2)"
Eden Creek,5,,330.6,Difficult,816.9126000000001,5,0.0061206058028729134,"c(3, 4, 8, 19, 24)"
Giant Forest,13,,1190.2,Easy,2940.9842000000003,36,0.012240800205591039,"c(3, 4, 8, 7, 15, 19, 20, 24, 23, 27, 31, 2, 2)"
South Fork,4,,204.5,Moderate,505.3195,3,0.005936837980723087,"c(4, 20, 2, 2)"
Pine Ridge,1,,64,Difficult,158.144,1,0.006323350870093079,4
Muir,2,,160.5,Easy,396.5955,5,0.012607303915450377,"c(4, 20)"
East Fork,4,,466.6,Moderate,1152.9686000000002,31,0.02688711557279183,"c(12, 15, 27, 31)"
Redwood Meadow,2,,190,Moderate,469.49,22,0.046859358026795035,"c(12, 31)"
Dillonwood,6,,603.3,Difficult,1490.7542999999998,0,0,"c(18, 20, 22, 23, 2, 2)"
Redwood Creek,1,,62.6,Moderate,154.68460000000002,1,0.006464767662714969,19
Atwell,4,,645.4,Easy,1594.7834,47,0.02947108679460797,"c(19, 21, 24, 27)"
Oriole Lake,3,,129.7,Moderate,320.4887,3,0.009360704449174027,"c(20, 2, 2)"
General Grant,5,,100.6,Easy,248.58259999999999,46,0.18504915468741578,"c(27, 10, 13, 10, 13)"
Little Redwood Meadow,1,,26.2,Difficult,64.7402,0,0,31
Big Stump,1,,92,Easy,227.332,22,0.0967747611422941,31
New Oriole Lake,2,,25.1,Moderate,62.02210000000001,1,0.016123285087089923,"c(2, 2)"
