grove,strata,grove_prop,plot_prop
all,E,0.061,0.07
all,SE,0.083,0.12
all,S,0.153,0.17
all,SW,0.166,0.17
all,W,0.174,0.15
all,NE,0.079,0.05
all,NW,0.183,0.18
all,N,0.101,0.08
all,Flat,0.004,0.01
all,Undulating,0.027,0.06
all,Moderately Sloping,0.071,0.13
all,Hilly,0.277,0.38
all,Moderately Steep,0.342,0.28
all,Steep,0.224,0.13
all,Very Steep,0.054,0.01
all,No_slope,0.002,0
all,fires_1,0.653,0.49
all,fires_2,0.088,0.07
all,fires_3,0.015,0.01
all,Undetected_change,0.21,0
all,Low,0.34,0.2
all,Moderate,0.11,0.07
all,High,0.11,0.16
all,fires_0,0.244,0.43
all,Unburned,0.23,0.43
