grove_name,total,SE to W,Flat-Moderate,Moderate-Steep,Very Steep,Moderate,Unburned,Low,High,fires_1,fires_0,fires_3,fires_2
Atwell,47,1,0.32,0.68,0,0.06,0.72,0.21,0,0.4,0.6,0,0
Big Stump,22,1,0.91,0.09,0,0,1,0,0,0,1,0,0
Board Camp,2,1,0,1,0,0,0,0,1,1,0,0,0
Castle Creek,2,1,0,1,0,0.5,0,0.5,0,0,0,1,0
Cedar Flat,1,1,0,1,0,0,0,1,0,1,0,0,0
East Fork,25,1,0.32,0.56,0.12,0.04,0.64,0.28,0.04,0.76,0.24,0,0
Eden Creek,5,1,0.4,0.6,0,0,0.4,0.6,0,0.2,0,0,0.8
Garfield,5,1,0.6,0.4,0,0,0.4,0.6,0,0.4,0,0,0.6
General Grant,35,1,0.89,0.11,0,0.26,0.51,0.23,0,0.57,0.43,0,0
Giant Forest,34,1,0.82,0.18,0,0,0.79,0.18,0.03,0.26,0.71,0,0.03
Homers Nose,2,1,0,1,0,0,0,0,1,1,0,0,0
Horse Creek,1,1,0,1,0,0,1,0,0,0,1,0,0
Lost,12,1,0.75,0.25,0,0,0.92,0.08,0,0.83,0.08,0,0.08
Muir,5,1,0.4,0.6,0,0.2,0.4,0.4,0,0.6,0,0,0.4
New Oriole Lake,1,1,1,0,0,0,0,1,0,1,0,0,0
Oriole Lake,3,1,0,1,0,0,0,1,0,1,0,0,0
Pine Ridge,1,1,1,0,0,0,0,1,0,1,0,0,0
Redwood Creek,1,1,0,1,0,0,0,0,1,1,0,0,0
Redwood Meadow,22,1,0.86,0.14,0,0,1,0,0,0,1,0,0
Redwood Mountain,52,1,0.77,0.23,0,0.1,0.06,0.12,0.73,0.83,0,0,0.17
Sequoia Creek,9,1,0.44,0.56,0,0,1,0,0,0,1,0,0
Skagway,2,1,1,0,0,0,0,1,0,0.5,0,0,0.5
South Fork,3,1,0,1,0,0.33,0,0.67,0,1,0,0,0
Suwanee,5,1,1,0,0,0,0,0.6,0.4,1,0,0,0
all,297,1,0.64,0.35,0.01,0.07,0.57,0.2,0.16,0.49,0.43,0.01,0.07
