aspect,time_since,burnsev,count,area_ha,prop_area,count_plot,prop_plot,diff
NW to E,five_or_less,Unburned,none,166.22,0.02,2,0.01,0.01
NW to E,five_or_less,Low,one,507.61,0.07,8,0.03,0.04
NW to E,five_or_less,Moderate,one,95.43,0.01,1,0,0.01
NW to E,five_or_less,High,one,68.72,0.01,3,0.01,0
NW to E,five_or_less,Low,multiple,405.05,0.06,17,0.06,0
NW to E,five_or_less,Moderate,multiple,141.82,0.02,4,0.01,0.01
NW to E,five_or_less,Unburned,none,239.82,0.03,5,0.02,0.01
NW to E,five_or_less,High,multiple,79.99,0.01,4,0.01,0
NW to E,more_than_five,Low,one,123.01,0.02,6,0.02,0
NW to E,more_than_five,Unburned,none,254.68,0.04,14,0.05,-0.01
NW to E,more_than_five,Low,multiple,191.42,0.03,24,0.08,-0.05
NW to E,more_than_five,Moderate,one,7.65,0,1,0,0
NW to E,more_than_five,Unburned,none,2.42,0,2,0.01,-0.01
NW to E,more_than_five,High,one,1.32,0,0,0,0
NW to E,more_than_five,Moderate,multiple,2.5,0,0,0,0
NW to E,more_than_five,High,multiple,0.08,0,0,0,0
SE to W,five_or_less,Unburned,none,386.28,0.05,9,0.03,0.02
SE to W,five_or_less,Low,one,749.19,0.11,12,0.04,0.07
SE to W,five_or_less,Moderate,one,247.17,0.03,1,0,0.03
SE to W,five_or_less,High,one,379.24,0.05,22,0.07,-0.02
SE to W,five_or_less,Low,multiple,804.1,0.11,22,0.07,0.04
SE to W,five_or_less,Unburned,none,453.69,0.06,10,0.03,0.03
SE to W,five_or_less,Moderate,multiple,233.14,0.03,5,0.02,0.01
SE to W,five_or_less,High,multiple,215.26,0.03,17,0.06,-0.03
SE to W,more_than_five,Low,one,231.87,0.03,20,0.07,-0.04
SE to W,more_than_five,Unburned,none,523.41,0.07,45,0.15,-0.08
SE to W,more_than_five,Low,multiple,567.53,0.08,51,0.17,-0.09
SE to W,more_than_five,High,one,2.69,0,1,0,0
SE to W,more_than_five,Moderate,one,11.65,0,6,0.02,-0.02
SE to W,more_than_five,Unburned,none,3.79,0,1,0,0
SE to W,more_than_five,Moderate,multiple,12.49,0,6,0.02,-0.02
SE to W,more_than_five,High,multiple,0.52,0,0,0,0
