grove_name,groveacres,grove_wbuffer_acres
Atwell,914.89,1563.14
Big Springs,2.37,29.79
Big Stump,282.75,539.44
Board Camp,48.2,116.36
Cahoon,14.21,59.79
Castle Creek,218.63,520.15
Cedar Flat,15.21,79.13
Clough Cave,1.41,11.42
Coffeepot Canyon,5.94,25.28
Dennison,13.36,43.14
Devil's Canyon,8.87,43.63
Dillonwood,1039.51,1928.19
Douglass,1.06,11.15
East Fork,741.76,1152.2
Eden Creek,434.83,802.84
Forgotten,1.83,14.71
Garfield,1232.42,1883.09
Giant Forest,2106.04,2849.78
Granite Creek,1.42,11.95
Homers Nose,118.83,276.26
Horse Creek,50.46,148.68
Little Redwood Meadow,27.92,64.81
Lost,35.4,76.25
Muir,244.89,396.47
New Oriole Lake,14.74,62.04
Fenced Tree,0.56,8.04
Oriole Lake,146.93,320.42
Pine Ridge,43.82,158.02
Putnam-Francis Tree,0.3,7.04
Redwood Creek,47.71,154.69
Redwood Meadow,179.24,449.57
Sequoia Creek,15.85,60.96
Skagway,60.94,147.72
South Fork,241.24,502.48
Squirrel Creek,6.99,55.17
Surprise,22.47,104.31
Suwanee,68.98,151.25
Redwood Mountain,2615.45,3908.67
General Grant,167.38,362.1
Total,11194.81,19100.13
