"","strata_nm","total.strata.area.ha","strata.prop.area.seki","area_ha","existing_plots_per_strata","total.plots.needed","useful.plots","NEW.plots.needed"
"1","NW_E-over5-Low-many",248.983,0.035,237.11,18,17,17,0
"2","NW_E-over5-Low-one",64.887,0.0091,59.96,3,5,3,2
"3","NW_E-over5-Moderate-many",2.495,0.0004,0.82,2,1,1,0
"4","NW_E-over5-Moderate-one",7.648,0.0011,5.76,1,1,1,0
"5","NW_E-over5-Unburned-none",237.746,0.0334,227.29,13,16,13,3
"6","NW_E-under5-High-many",79.93,0.0112,67.47,4,6,4,2
"7","NW_E-under5-High-one",68.784,0.0097,56.91,3,5,3,2
"8","NW_E-under5-Low-many",405.594,0.057,365.05,16,27,16,11
"9","NW_E-under5-Low-one",518.714,0.0729,485.61,9,34,9,25
"10","NW_E-under5-Moderate-many",141.493,0.0199,109.42,3,10,3,7
"11","NW_E-under5-Moderate-one",96.238,0.0135,59.68,0,7,0,7
"12","NW_E-under5-Unburned-none",413.833,0.0582,355.87,7,27,7,20
"13","SE_W-over5-High-one",2.692,0.0004,1.57,0,1,0,1
"14","SE_W-over5-Low-many",753.954,0.106,741.36,56,49,49,0
"15","SE_W-over5-Low-one",51.98,0.0073,46.11,3,4,3,1
"16","SE_W-over5-Moderate-many",12.486,0.0018,10.09,1,1,1,0
"17","SE_W-over5-Moderate-one",11.576,0.0016,10.03,4,1,1,0
"18","SE_W-over5-Unburned-none",368.349,0.0518,354.47,25,24,24,0
"19","SE_W-under5-High-many",215.257,0.0303,192.34,16,14,14,0
"20","SE_W-under5-High-one",379.494,0.0534,355.15,22,25,22,3
"21","SE_W-under5-Low-many",817.607,0.115,768.89,22,54,22,32
"22","SE_W-under5-Low-one",827.913,0.1164,776.66,17,54,17,37
"23","SE_W-under5-Moderate-many",233.529,0.0328,173.77,4,16,4,12
"24","SE_W-under5-Moderate-one",264.636,0.0372,187.06,2,18,2,16
"25","SE_W-under5-Unburned-none",895.037,0.1259,809.11,25,59,25,34
