"","strata_nm","grove_name","num.grid.plots","grov_nm","study_design"
"1","NW_E-under5-High-many","Redwood Mountain",99,"Redwood Mountain","grid"
"2","NW_E-under5-High-one","Dillonwood",5,"Dillonwood","grid"
"3","NW_E-under5-High-one","Redwood Mountain",20,"Redwood Mountain","grid"
"4","NW_E-under5-Low-many","Atwell",78,"Atwell","grid"
"5","NW_E-under5-Low-many","Eden Creek",468,"Eden Creek","grid"
"6","NW_E-under5-Low-many","Garfield",585,"Garfield","grid"
"7","NW_E-under5-Low-many","Giant Forest",312,"Giant Forest","grid"
"8","NW_E-under5-Low-many","Redwood Mountain",819,"Redwood Mountain","grid"
"9","NW_E-under5-Low-many","Suwanee",39,"Suwanee","grid"
"10","NW_E-under5-Low-one","Dillonwood",70,"Dillonwood","grid"
"11","NW_E-under5-Low-one","Eden Creek",70,"Eden Creek","grid"
"12","NW_E-under5-Low-one","Garfield",910,"Garfield","grid"
"13","NW_E-under5-Low-one","Giant Forest",420,"Giant Forest","grid"
"14","NW_E-under5-Low-one","Granite Creek",70,"Granite Creek","grid"
"15","NW_E-under5-Low-one","Muir",175,"Muir","grid"
"16","NW_E-under5-Low-one","Oriole Lake",70,"Oriole Lake","grid"
"17","NW_E-under5-Low-one","Pine Ridge",245,"Pine Ridge","grid"
"18","NW_E-under5-Low-one","Skagway",35,"Skagway","grid"
"19","NW_E-under5-Low-one","South Fork",980,"South Fork","grid"
"20","NW_E-under5-Moderate-many","Eden Creek",11,"Eden Creek","grid"
"21","NW_E-under5-Moderate-many","Redwood Mountain",110,"Redwood Mountain","grid"
"22","NW_E-under5-Moderate-many","Suwanee",22,"Suwanee","grid"
"23","NW_E-under5-Moderate-one","Muir",10,"Muir","grid"
"24","NW_E-under5-Moderate-one","South Fork",5,"South Fork","grid"
"25","NW_E-under5-Moderate-one","Squirrel Creek",5,"Squirrel Creek","grid"
"26","NW_E-under5-Unburned-none","Atwell",39,"Atwell","grid"
"27","NW_E-under5-Unburned-none","Dillonwood",78,"Dillonwood","grid"
"28","NW_E-under5-Unburned-none","Eden Creek",858,"Eden Creek","grid"
"29","NW_E-under5-Unburned-none","Garfield",975,"Garfield","grid"
"30","NW_E-under5-Unburned-none","Giant Forest",273,"Giant Forest","grid"
"31","NW_E-under5-Unburned-none","Muir",39,"Muir","grid"
"32","NW_E-under5-Unburned-none","Redwood Meadow",39,"Redwood Meadow","grid"
"33","NW_E-under5-Unburned-none","Redwood Mountain",546,"Redwood Mountain","grid"
"34","SE_W-over5-Low-many","Atwell",2349,"Atwell","grid"
"35","SE_W-over5-Low-many","Big Stump",54,"Big Stump","grid"
"36","SE_W-over5-Low-many","East Fork",432,"East Fork","grid"
"37","SE_W-over5-Low-many","General Grant",243,"General Grant","grid"
"38","SE_W-over5-Low-many","Giant Forest",1674,"Giant Forest","grid"
"39","SE_W-over5-Low-many","Redwood Creek",27,"Redwood Creek","grid"
"40","SE_W-over5-Low-many","Sequoia Creek",27,"Sequoia Creek","grid"
"41","SE_W-under5-High-one","Dillonwood",231,"Dillonwood","grid"
"42","SE_W-under5-High-one","Garfield",126,"Garfield","grid"
"43","SE_W-under5-High-one","Muir",21,"Muir","grid"
"44","SE_W-under5-High-one","New Oriole Lake",21,"New Oriole Lake","grid"
"45","SE_W-under5-High-one","Redwood Mountain",756,"Redwood Mountain","grid"
"46","SE_W-under5-Low-many","Atwell",1092,"Atwell","grid"
"47","SE_W-under5-Low-many","East Fork",52,"East Fork","grid"
"48","SE_W-under5-Low-many","Eden Creek",520,"Eden Creek","grid"
"49","SE_W-under5-Low-many","Garfield",468,"Garfield","grid"
"50","SE_W-under5-Low-many","General Grant",52,"General Grant","grid"
"51","SE_W-under5-Low-many","Giant Forest",3328,"Giant Forest","grid"
"52","SE_W-under5-Low-many","Muir",208,"Muir","grid"
"53","SE_W-under5-Low-many","Redwood Creek",208,"Redwood Creek","grid"
"54","SE_W-under5-Low-many","Redwood Mountain",2860,"Redwood Mountain","grid"
"55","SE_W-under5-Low-many","Skagway",52,"Skagway","grid"
"56","SE_W-under5-Low-one","Cedar Flat",186,"Cedar Flat","grid"
"57","SE_W-under5-Low-one","Dillonwood",3410,"Dillonwood","grid"
"58","SE_W-under5-Low-one","Eden Creek",124,"Eden Creek","grid"
"59","SE_W-under5-Low-one","Garfield",1240,"Garfield","grid"
"60","SE_W-under5-Low-one","Giant Forest",372,"Giant Forest","grid"
"61","SE_W-under5-Low-one","Little Redwood Meadow",62,"Little Redwood Meadow","grid"
"62","SE_W-under5-Low-one","Lost",124,"Lost","grid"
"63","SE_W-under5-Low-one","Muir",558,"Muir","grid"
"64","SE_W-under5-Low-one","New Oriole Lake",124,"New Oriole Lake","grid"
"65","SE_W-under5-Low-one","Oriole Lake",1302,"Oriole Lake","grid"
"66","SE_W-under5-Low-one","Pine Ridge",124,"Pine Ridge","grid"
"67","SE_W-under5-Low-one","Redwood Meadow",1116,"Redwood Meadow","grid"
"68","SE_W-under5-Low-one","Redwood Mountain",310,"Redwood Mountain","grid"
"69","SE_W-under5-Low-one","Skagway",124,"Skagway","grid"
"70","SE_W-under5-Low-one","South Fork",558,"South Fork","grid"
"71","SE_W-under5-Low-one","Squirrel Creek",62,"Squirrel Creek","grid"
"72","SE_W-under5-Moderate-many","Eden Creek",23,"Eden Creek","grid"
"73","SE_W-under5-Moderate-many","Redwood Mountain",506,"Redwood Mountain","grid"
"74","SE_W-under5-Moderate-many","Suwanee",23,"Suwanee","grid"
"75","SE_W-under5-Moderate-one","Dillonwood",152,"Dillonwood","grid"
"76","SE_W-under5-Moderate-one","Garfield",19,"Garfield","grid"
"77","SE_W-under5-Moderate-one","Muir",38,"Muir","grid"
"78","SE_W-under5-Moderate-one","South Fork",19,"South Fork","grid"
"79","SE_W-under5-Unburned-none","Atwell",812,"Atwell","grid"
"80","SE_W-under5-Unburned-none","Dillonwood",2668,"Dillonwood","grid"
"81","SE_W-under5-Unburned-none","Eden Creek",116,"Eden Creek","grid"
"82","SE_W-under5-Unburned-none","Garfield",1624,"Garfield","grid"
"83","SE_W-under5-Unburned-none","Giant Forest",928,"Giant Forest","grid"
"84","SE_W-under5-Unburned-none","Little Redwood Meadow",116,"Little Redwood Meadow","grid"
"85","SE_W-under5-Unburned-none","Lost",174,"Lost","grid"
"86","SE_W-under5-Unburned-none","Muir",232,"Muir","grid"
"87","SE_W-under5-Unburned-none","Oriole Lake",116,"Oriole Lake","grid"
"88","SE_W-under5-Unburned-none","Redwood Creek",58,"Redwood Creek","grid"
"89","SE_W-under5-Unburned-none","Redwood Meadow",406,"Redwood Meadow","grid"
"90","SE_W-under5-Unburned-none","Redwood Mountain",2900,"Redwood Mountain","grid"
"91","SE_W-under5-Unburned-none","Skagway",58,"Skagway","grid"
