Row Labels,Count of point_id
Atwell-NW_E-under5-Low-many,1
Atwell-SE_W-under5-Low-many,3
Atwell-SE_W-under5-Moderate-many,2
Big Springs-NW_E-under5-Moderate-one,1
Cedar Flat-SE_W-under5-Low-one,1
Cedar Flat-SE_W-under5-Unburned-none,1
Dillonwood-NW_E-under5-Low-one,2
Dillonwood-NW_E-under5-Moderate-one,1
Dillonwood-NW_E-under5-Unburned-none,1
Dillonwood-SE_W-under5-Low-one,10
Dillonwood-SE_W-under5-Moderate-one,4
Dillonwood-SE_W-under5-Unburned-none,8
East Fork-NW_E-over5-Low-one,1
East Fork-SE_W-over5-Low-one,1
East Fork-SE_W-under5-Low-many,1
Eden Creek-NW_E-under5-Low-many,1
Eden Creek-NW_E-under5-Moderate-many,1
Eden Creek-NW_E-under5-Unburned-none,3
Eden Creek-SE_W-under5-Low-many,2
Garfield-NW_E-under5-Low-many,2
Garfield-NW_E-under5-Low-one,7
Garfield-NW_E-under5-Unburned-none,7
Garfield-SE_W-under5-Low-many,5
Garfield-SE_W-under5-Low-one,9
Garfield-SE_W-under5-Moderate-many,1
Garfield-SE_W-under5-Moderate-one,3
Garfield-SE_W-under5-Unburned-none,5
Giant Forest-NW_E-over5-Unburned-none,1
Giant Forest-NW_E-under5-Low-many,1
Giant Forest-NW_E-under5-Low-one,3
Giant Forest-NW_E-under5-Moderate-one,1
Giant Forest-NW_E-under5-Unburned-none,3
Giant Forest-SE_W-under5-Low-many,6
Giant Forest-SE_W-under5-Low-one,2
Giant Forest-SE_W-under5-Unburned-none,4
Little Redwood Meadow-SE_W-under5-Unburned-none,2
Muir-NW_E-under5-Low-many,1
Muir-NW_E-under5-Low-one,1
Muir-NW_E-under5-Unburned-none,1
Muir-SE_W-under5-Low-many,1
Muir-SE_W-under5-Low-one,2
Muir-SE_W-under5-Moderate-one,1
Muir-SE_W-under5-Unburned-none,2
Oriole Lake-NW_E-under5-Unburned-none,1
Oriole Lake-SE_W-under5-Low-one,2
Oriole Lake-SE_W-under5-Moderate-one,1
Oriole Lake-SE_W-under5-Unburned-none,2
Pine Ridge-NW_E-under5-Low-one,1
Pine Ridge-SE_W-under5-Low-one,1
Redwood Creek-NW_E-under5-Low-many,1
Redwood Creek-SE_W-under5-Low-many,2
Redwood Meadow-NW_E-over5-Low-one,1
Redwood Meadow-SE_W-under5-Low-many,2
Redwood Meadow-SE_W-under5-Low-one,1
Redwood Meadow-SE_W-under5-Moderate-one,1
Redwood Meadow-SE_W-under5-Unburned-none,1
Redwood Mountain-NW_E-under5-High-one,1
Redwood Mountain-NW_E-under5-Low-many,2
Redwood Mountain-NW_E-under5-Moderate-many,3
Redwood Mountain-NW_E-under5-Unburned-none,3
Redwood Mountain-SE_W-under5-Low-many,6
Redwood Mountain-SE_W-under5-Low-one,1
Redwood Mountain-SE_W-under5-Moderate-many,5
Redwood Mountain-SE_W-under5-Unburned-none,5
Skagway-SE_W-under5-Low-many,1
Skagway-SE_W-under5-Low-one,1
South Fork-NW_E-under5-Low-one,6
South Fork-NW_E-under5-Moderate-one,1
South Fork-SE_W-under5-Low-one,5
South Fork-SE_W-under5-Moderate-one,2
Suwanee-NW_E-under5-Moderate-many,1
Grand Total,176
